,Building,Ecost_base (€),Ecost_SC (€),Ecost_EC (€),Ecost_EC_BESS (€),Savings_SC (€),Savings_SC (%),Savings_EC (€),Savings_EC (%),Savings_EC_BESS (€),Savings_EC_BESS (%),Income_PV_SC(€),Income_PV_EC(€),Income_PV_EC_B(€),incomeEC_total,incomeEC_b_total,PV_Power_W,PV_Investment_€
47,B1686,1509.7392349,905.4671490000001,884.896166532728,398.9609571282986,604.2720858999999,0.40024930923917124,624.8430683672719,0.4138748294560017,1110.7782777717014,0.7357418103036023,841.8709868999999,812.5236971319813,768.1757342167484,5275416.328113,2804327.871184995,12822.4,14104.64
48,B4098,2053.1894669000003,1209.0031218000001,1199.9737521242116,524.2704680891591,844.1863451000002,0.411158521271099,853.2157147757887,0.4155562496938059,1528.9189988108412,0.7446555826721989,1327.8586781,1285.81087338991,1215.6306520248258,5275416.328113,2804327.871184995,20417.6,22459.36
49,B4427,2843.3804842000004,1651.8688479,1649.4923755695186,700.2846751891663,1191.5116363000004,0.41904755375545116,1193.8881086304818,0.4198833449355929,2143.0958090108343,0.7537140459813647,2242.3626687,2167.52775540296,2049.222971365708,5275416.328113,2804327.871184995,33683.200000000004,37051.52000000001
50,B1078,912.8926716000001,642.6432864000001,546.2459357276508,263.18880644999416,270.2493852,0.2960363179675239,366.64673587234927,0.40163180982682045,649.7038651500059,0.7116979743207809,224.00129149999998,210.40286479549613,198.91896779883567,5275416.328113,2804327.871184995,3441.6000000000004,3785.7600000000007
51,B2364,1474.5377473,885.7276416000002,862.9602315590861,390.76798657239135,588.8101056999999,0.3993184350676404,611.577515740914,0.414758806182319,1083.7697607276086,0.7349894993953734,804.4494239,775.3861169101003,733.0651422984147,5275416.328113,2804327.871184995,12267.2,13493.920000000002
52,B4193,3025.3059677,1750.8009978,1748.6934443247267,743.1673322069184,1274.5049699,0.421281345922491,1276.6125233752734,0.42197798735240744,2282.138635493082,0.7543496954881843,2453.7177991999997,2371.946786308741,2242.4847060181287,5275416.328113,2804327.871184995,36721.6,40393.76
53,B1770,4865.862600500001,2846.2838355000004,2842.9709325984036,1179.4277226908039,2019.5787650000002,0.4150505122755572,2022.891667901597,0.4157313582372283,3686.4348778091967,0.7576117906474363,4271.6934368,4149.12902741121,3922.6674227987605,5275416.328113,2804327.871184995,66001.6,72601.76000000001
54,B3231,1330.1852437,816.9063993,784.1321646775763,359.0882655109553,513.2788444,0.3858701987794424,546.0530790224237,0.41050904872733385,971.0969781890446,0.730046422322257,616.3474755999999,594.0931435359979,561.6672330170471,5275416.328113,2804327.871184995,9734.4,10707.840000000002
55,B2218,1411.3883947,853.291377,827.0543893361413,377.6481720275517,558.0970176999999,0.3954241226552151,584.3340053638586,0.41401361068160314,1033.7402226724482,0.7324278891298215,738.8358648999999,712.4833787325051,673.595668048768,5275416.328113,2804327.871184995,11312.0,12443.2
56,B2960,2051.856106,1194.1010262,1188.3974752541205,518.9446194256028,857.7550798000002,0.41803861259655023,863.4586307458796,0.4208183157780751,1532.9114865743973,0.7470852766389834,1456.8997198000002,1404.9860961707823,1328.301229613249,5275416.328113,2804327.871184995,21766.4,23943.04
57,B1517,1672.5240321999995,989.9468127,976.7084870289972,434.3858347970444,682.5772194999995,0.4081120548098512,695.8155451710023,0.4160272329574497,1238.138197402955,0.7402812596805181,1033.1743071,999.5746292104728,945.0173298434449,5275416.328113,2804327.871184995,15376.0,16913.600000000002
58,B1368,4230.0322877,2445.0597144000003,2443.216234200828,1023.6671357932596,1784.9725732999996,0.4219761107947818,1786.816053499172,0.42241191839004133,3206.3651519067403,0.7580001602423089,3771.5949752,3645.648744290894,3446.66735349028,5275416.328113,2804327.871184995,55547.2,61101.92000000001
59,B2225,2630.9680037,1529.2834595999998,1525.8543983766472,654.5669710623043,1101.6845441,0.4187373402301632,1105.1136053233527,0.4200406860779767,1976.4010326376956,0.7512067915148457,1999.3703044000001,1937.0388554705598,1831.3142745986495,5275416.328113,2804327.871184995,30435.2,33478.72
60,B3551,1322.9727790999998,824.5455219,787.4843639415539,360.1363666778135,498.42725719999976,0.3767479309280067,535.488415158446,0.40476147628882536,962.8364124221863,0.7277824817205919,579.2791328,565.0274244145282,534.1879358525659,5275416.328113,2804327.871184995,9891.2,10880.320000000002
