,Building,Ecost_base (€),Ecost_SC (€),Ecost_EC (€),Ecost_EC_BESS (€),Savings_SC (€),Savings_SC (%),Savings_EC (€),Savings_EC (%),Savings_EC_BESS (€),Savings_EC_BESS (%),Income_PV_SC(€),Income_PV_EC(€),Income_PV_EC_B(€),incomeEC_total,incomeEC_b_total
11,Bosm-w210493834,6829.370685,4932.704021400001,4912.095816725163,1898.1245253892175,1896.666663599999,0.2777220260961716,1917.274868274837,0.2807396108232829,4931.246159610782,0.7220645044852742,5606.1096464,5569.045280188344,5380.637075757986,333548.6808599,218628.7498363782
12,Bosm-w210497558,6288.7264788,3516.150807,3505.019108374098,1096.618104631637,2772.5756718000002,0.44088030877899725,2783.7073704259024,0.4426504125771873,5192.108374168363,0.8256215931272478,9566.1892793,9629.929255362338,9304.135948159632,333548.6808599,218628.7498363782
13,Bosm-w210493845,7436.0147519,5417.5612896,5378.907587348428,2226.861331624632,2018.4534623,0.2714429072083616,2057.107164551572,0.27664108170656254,5209.153420275368,0.700530269785218,5982.1358417,5778.914932528828,5583.406558792511,333548.6808599,218628.7498363782
14,Bosm-w210493851,13451.573368500001,9622.7163018,9582.929987103407,3656.09232863846,3828.857066700002,0.28464009092543513,3868.643381396594,0.28759783524326793,9795.481039861541,0.7282033685962674,12723.235822499999,12589.929667782477,12163.99561207461,333548.6808599,218628.7498363782
15,Bosm-w210497556,6380.0279034,3563.3413755,3552.3221384037834,1104.8400339354394,2816.6865278999994,0.44148498573163775,2827.705764996216,0.4432121313277165,5275.18786946456,0.826828338266882,9849.148764000001,9911.174041455592,9575.865849297335,333548.6808599,218628.7498363782
16,Bosm-w210497546,3279.0459874999997,2219.9708367000003,2219.845042395212,829.6332543750683,1059.0751507999994,0.32298270742078133,1059.2009451047875,0.3230210705011613,2449.4127331249315,0.7469894421921193,10373.664668,10473.815423725184,10119.472325718929,333548.6808599,218628.7498363782
17,Bosm-w210493850,52432.64237459999,44558.8126092,40674.16375790284,22020.252899927327,7873.829765399991,0.1501703787717996,11758.478616697153,0.22425874577691182,30412.389474672666,0.580027786076358,10534.4582844,10575.114876916692,10217.344683757614,333548.6808599,218628.7498363782
18,Bosm-w210497559,2890.4720430999996,1570.7746044,1563.2023223465078,537.7145834457679,1319.6974386999996,0.4565681380141074,1327.2697207534918,0.4591878769150832,2352.7574596542318,0.8139699760357915,3847.8452234,3893.7672510741086,3762.0359292164076,333548.6808599,218628.7498363782
19,Bosm-w210497544,18401.9015247,10342.846583100001,10310.250761587928,3209.369942553247,8059.054941599998,0.4379468573279077,8091.650763112071,0.43971818631085663,15192.531582146752,0.8255957441003876,27316.3494264,27647.309493913785,26711.964263805956,333548.6808599,218628.7498363782
20,Bosm-w210497541,6190.352843399999,4345.9645896,4339.155034887038,1677.1450942481656,1844.388253799999,0.2979455776525631,1851.1978085129613,0.29904560456301976,4513.207749151834,0.7290711633608582,7904.3927124,7882.877802135178,7616.189567847025,333548.6808599,218628.7498363782
