,Building,Ecost_base (€),Ecost_SC (€),Ecost_EC (€),Ecost_EC_BESS (€),Savings_SC (€),Savings_SC (%),Savings_EC (€),Savings_EC (%),Savings_EC_BESS (€),Savings_EC_BESS (%),Income_PV_SC(€),Income_PV_EC(€),Income_PV_EC_B(€),incomeEC_total,incomeEC_b_total,PV_Power_W,PV_Investment_€
20,Boavista_3,1861.1826479,1240.227216,1221.731917698508,68.49646689537434,620.9554318999999,0.33363487060264246,639.450730201492,0.3435722608541369,1792.6861810046255,0.9631973428439923,2354.0444462,2325.1349782515854,2202.24167218321,127679.1579222,91635.97396047912,16308.8,17939.680000000004
21,Boavista_4,2543.0280795999997,1671.7717350000003,1641.5459065678965,88.33168100225032,871.2563445999995,0.3426058688022988,901.4821730321032,0.35449163155677776,2454.6963985977495,0.9652651570343084,3296.5770878,3268.6647619446517,3095.9018803133076,127679.1579222,91635.97396047912,24483.2,26931.520000000004
22,Boavista_5,2553.6658396,1670.4377937000002,1651.9105166052138,87.3283047392519,883.2280458999996,0.3458667270414466,901.755322994786,0.35312189598621674,2466.337534860748,0.9658027673844237,3377.7713853,3327.554621931661,3151.679159888684,127679.1579222,91635.97396047912,24721.6,27193.76
23,dasFlores10,199.0684237,132.7541112,131.82148560286805,5.901283641289943,66.3143125,0.33312321094146485,67.24693809713196,0.33780816086871923,193.16714005871006,0.9703555012311581,527.8005978,524.3372936924287,496.6238301216979,127679.1579222,91635.97396047912,4371.2,4808.320000000001
24,dasFlores11,273.30241720000004,187.9859808,183.71898873066658,11.156345172470335,85.31643640000004,0.31216861260896317,89.58342846933346,0.32778132512372615,262.1460720275297,0.9591794859088048,445.92747140000006,438.8073012024665,415.6144627323905,127679.1579222,91635.97396047912,3894.4,4283.84
25,dasFlores12,142.48867940000002,92.87744670000001,92.85285713657342,2.7341552530512927,49.611232700000016,0.34817666153483917,49.635822263426604,0.3483492335842829,139.75452414694874,0.9808114211980599,1156.9216549,1140.18518825708,1079.9215353398324,127679.1579222,91635.97396047912,8764.8,9641.28
26,dasFlores1,535.6316367,377.87383350000005,357.3548886510083,21.586375510874365,157.7578031999999,0.29452667167297647,178.27674804899164,0.33283461213632914,514.0452611891255,0.9596992148487214,447.2817925,450.53406527887904,426.72141728362976,127679.1579222,91635.97396047912,4548.8,5003.68
27,dasFlores2,528.5135188999999,351.5330907,349.2962914064325,18.00522136626294,176.9804281999999,0.3348645245032727,179.2172274935674,0.33909677063052973,510.50829753373694,0.965932335271693,868.9159307999998,860.5509893488738,815.0671971773678,127679.1579222,91635.97396047912,6924.8,7617.280000000001
28,dasFlores3,165.8551841,96.68671739999999,95.86020909469816,2.941896707157535,69.16846670000001,0.41704133081722594,69.99497500530184,0.4220246438790805,162.91328739284248,0.9822622565395137,603.7645867,605.4750055987059,573.473067700139,127679.1579222,91635.97396047912,6817.6,7499.360000000001
29,dasFlores4,431.2039761,284.9137938,281.7716105724851,17.621510098297048,146.29018229999997,0.3392598176461944,149.4323655275149,0.34654681730685205,413.5824660017029,0.9591341660212093,919.5087093,878.6036586208154,832.1657058388762,127679.1579222,91635.97396047912,6561.599999999999,7217.76
30,dasFlores5,253.3483856,165.87968130000002,165.72570535083906,4.966031588064926,87.46870429999998,0.3452506874786258,87.62268024916094,0.3458584511665463,248.38235401193506,0.980398408395996,713.0196747,713.6643154141259,675.9441107960628,127679.1579222,91635.97396047912,6600.0,7260.000000000001
31,dasFlores6,119.79067559999999,78.9179049,78.71444431481022,2.349477962098039,40.87277069999999,0.341201604342567,41.07623128518976,0.34290007197513267,117.44119763790195,0.9803868043123547,548.9932663,551.9626343086971,522.789053595799,127679.1579222,91635.97396047912,6177.6,6795.360000000001
